class_name,warning,alt_name
Abutilon,It has no toxic effects toward cats nor dogs!,"Flowering Maple, Chinese Lantern, Indian Mallow"
Acacia,It has no toxic effects toward cats nor dogs!,"Wattle, Mimosa, Thorntree"
Aconite,It is toxic toward cats, dogs, and even you!,"Monkshood, Wolfsbane, Devil's Helmet, Blue Rocket"
African Daisy,It has no toxic effects toward cats nor dogs!,"Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy"
Agapanthus,It has minimal toxicity to animals unless eaten in quantity!,"Flower of Love, African Lily, Lily of the Nile" 
Ageratum,It is not edible and could cause irritation or illness if ingested!,"Flossflower"
Alchemilla,It has no toxic effects toward cats nor dogs!,"Nine Hooks, Bear's Foot, Lion's Foot"
Allium,It is toxic toward cats and dogs!,""
Alstroemeria,Though not deadly, they can cause tummy or skin irritation when ingested by pets!
Alyssum,It has no toxic effects toward cats nor dogs!
Amaranthus,It has minimal toxicity to pets unless eaten in quantity!
Amaryllis,It is toxic toward cats and dogs!
Anemone,It is toxic toward cats and dogs!
Anise Hyssop,It has no toxic effects toward cats nor dogs!
Armeria Maritima,It has no toxic effects toward cats nor dogs!
Aster,It has no toxic effects toward cats nor dogs!
Azalea,It is toxic toward cats and dogs!
Baby Breath,It has no toxic effects toward cats nor dogs!
Bachelor Button,It has no toxic effects toward cats nor dogs!
Balloon Flower,It is toxic toward cats and dogs when digested!
Ballota,It has minimal toxicity to pets unless eaten in quantity!
Bee Balm,It has no toxic effects toward cats and dogs!
Begonia,It is toxic toward cats and dogs!
Bellflower,It has no toxic effects toward cats nor dogs!
Bergamot,It is toxic toward cats and dogs!
Bergenia,It is extremely toxic toward cats and dogs! Avoid it at all costs!
Billbergia,It has no toxic effects toward cats nor dogs!
Black-eyed Susan,It has minimal toxicity to pets unless eaten in quantity. Better to avoid it though!
Blanket Flower,It has no toxic effects toward cats nor dogs!
Blazing Star,It has no toxic effects toward cats nor dogs!
Bleeding Heart,It is extremely toxic toward cats and dogs. Avoid it at all costs!
Bletilla,It has no toxic effects toward cats nor dogs!
Blue-eyed Grass,It has minimal toxicity to pets unless eaten in quantity!
Bluebonnets,It is toxic toward cats and dogs!
Bluestar Flower,It is toxic toward cats and dogs!
Borage,It is toxic toward cats and dogs!
Bottlebrush,It has no toxic effects toward cats nor dogs!
Bouvardia,It is toxic toward cats and dogs if ingested!
Brachyscome,It has no toxic effectcs toward cats nor dogs!
Brassica,It has no toxic effect toward cats nor dogs. Some may even like eating them!
Broom,It is toxic toward cats, dogs, and even you!
Buttercup,It is toxic toward cats and dogs!
Butterfly Bush,It has no toxic effects toward cats nor dogs!
Calceolaria,It has minimal toxicity to pets unless eaten in quantity!
Calendula,It has no toxic effects toward cats nor dogs!
California Poppy,It has minimal toxicity to pets unless eaten in quantity!
Calla Lily,It is toxic toward cats and dogs!
Camellia,It has no toxic effects toward cats nor dogs!
Candytuft,It has minimal toxicity to pets unless eaten in quantity!
Canna Lily,It has no toxic effects toward cats nor dogs!
Cape Leadwort,It is toxic toward cats and dogs!
